Date,oil_spot,oil_futures,gas_spot,gas_futures,repo_rate
10/4/1991,0.64,0.656,0.626,0.623,0.0502
10/7/1991,0.652,0.669,0.633,0.629,0.0502
10/8/1991,0.654,0.671,0.635,0.635,0.0502
10/9/1991,0.663,0.681,0.634,0.632,0.0501
10/10/1991,0.658,0.675,0.627,0.625,0.0503
10/11/1991,0.659,0.675,0.626,0.624,0.0499
10/14/1991,0.675,0.691,0.633,0.63,0.0498
10/15/1991,0.675,0.692,0.636,0.633,0.0496
10/16/1991,0.668,0.684,0.639,0.633,0.0497
10/17/1991,0.678,0.694,0.649,0.645,0.0503
10/18/1991,0.682,0.698,0.659,0.657,0.0503
10/21/1991,0.686,0.702,0.656,0.654,0.0504
10/22/1991,0.684,0.695,0.656,0.652,0.0506
10/23/1991,0.669,0.682,0.641,0.639,0.0504
10/24/1991,0.682,0.693,0.656,0.653,0.0497
10/25/1991,0.673,0.684,0.651,0.647,0.0496
10/28/1991,0.674,0.682,0.67,0.656,0.0494
10/29/1991,0.674,0.684,0.67,0.664,0.0489
10/30/1991,0.672,0.684,0.683,0.669,0.0484
10/31/1991,0.674,0.686,0.676,0.669,0.0482
11/1/1991,0.686,0.707,0.683,0.655,0.0475
11/4/1991,0.698,0.717,0.692,0.662,0.0474
11/5/1991,0.701,0.718,0.7,0.672,0.0476
11/6/1991,0.691,0.71,0.691,0.663,0.0463
11/7/1991,0.684,0.703,0.672,0.654,0.0463
11/8/1991,0.678,0.696,0.67,0.649,0.0462
11/11/1991,0.656,0.676,0.64,0.626,0.0462
11/12/1991,0.649,0.666,0.634,0.615,0.0462
11/13/1991,0.64,0.659,0.632,0.621,0.0463
11/14/1991,0.636,0.657,0.642,0.632,0.0463
11/15/1991,0.656,0.675,0.651,0.64,0.0459
11/18/1991,0.633,0.654,0.645,0.634,0.0458
11/19/1991,0.624,0.644,0.636,0.626,0.0453
11/20/1991,0.619,0.637,0.643,0.635,0.0449
11/21/1991,0.619,0.636,0.647,0.638,0.0443
11/22/1991,0.604,0.621,0.632,0.625,0.0442
11/25/1991,0.611,0.625,0.628,0.622,0.0443
11/26/1991,0.601,0.617,0.618,0.616,0.044
11/27/1991,0.604,0.618,0.625,0.62,0.0439
11/29/1991,0.606,0.617,0.627,0.623,0.0435
12/2/1991,0.595,0.615,0.615,0.586,0.0438
12/3/1991,0.573,0.595,0.59,0.567,0.0436
12/4/1991,0.585,0.603,0.599,0.571,0.0431
12/5/1991,0.574,0.593,0.58,0.56,0.0431
12/6/1991,0.551,0.571,0.567,0.55,0.0424
12/9/1991,0.523,0.544,0.546,0.533,0.0415
12/10/1991,0.521,0.55,0.543,0.54,0.042
12/11/1991,0.53,0.558,0.543,0.534,0.0415
12/12/1991,0.537,0.566,0.551,0.546,0.0415
12/13/1991,0.545,0.572,0.554,0.549,0.0415
12/16/1991,0.549,0.568,0.554,0.547,0.0414
12/17/1991,0.536,0.558,0.55,0.546,0.0411
12/18/1991,0.522,0.547,0.548,0.542,0.0412
12/19/1991,0.512,0.535,0.542,0.536,0.0404
12/20/1991,0.489,0.511,0.53,0.522,0.0374
12/23/1991,0.494,0.518,0.535,0.53,0.0376
12/24/1991,0.497,0.518,0.545,0.539,0.0381
12/26/1991,0.477,0.503,0.533,0.53,0.0382
12/27/1991,0.479,0.504,0.537,0.534,0.0386
12/30/1991,0.457,0.481,0.545,0.54,0.0387
12/31/1991,0.469,0.483,0.551,0.549,0.0388
1/2/1992,0.486,0.516,0.56,0.554,0.0386
